codigo_pais,pais,anio,vab_manuf_pib,vab_manuf_const,empleo_ind_pct,exp_manuf_pct,poblacion,var_vab,var_empleo,var_exp
GB,Reino Unido,2006,10.151074366746,263697706203.656,22.0324896834038,76.9528068946362,60846820,-3.8872585856044695,-0.5977190713535308,2.310284390720163
US,Estados Unidos,2006,12.9907263775984,NA,22.2306233143871,78.7160112066687,298379912,0.057032204484142035,0.4467161348900017,7.590158194988295
AR,Argentina,2007,17.0474154518997,77959305197.549,21.8987928729188,30.9559868356266,40016763,-4.644747616394862,1.5090385001260698,-2.5642252486727135
BR,Brasil,2007,14.1542648057288,204881669069.253,24.1212243014945,47.3230920855875,188552320,0.3212070958130475,2.4306001904578878,-4.859485836008314
CN,China,2007,31.9005932714931,NA,26.799965080269,93.126746738674,1317885000,-0.2935755378732252,6.35163069628395,0.7667842297080396
DE,Alemania,2007,20.5298911974573,644725096152.46,30.3601084856613,82.5269647651258,82266372,0.9393147233640375,1.6980115026022258,-2.7787642716505356
GB,Reino Unido,2007,9.71451845006441,266288478098.729,22.161664912806,72.6907575643402,61322463,-4.30058830138913,0.586294292013223,-5.538523547466689
US,Estados Unidos,2007,12.7697556443079,NA,22.0203748051062,76.9365692836053,301231207,-1.7009882809289945,-0.9457607477197039,-2.2605844678682763
AR,Argentina,2008,16.5383660984547,80782289948.4869,22.0818356602783,30.8479405457576,40424148,-2.9860793554384424,0.8358578868786104,-0.34903196736294495
BR,Brasil,2008,13.9551769000753,213383334849.318,24.8662804129767,43.221716694584,190367302,-1.4065577293207232,3.0887989024505513,-8.666752763293317
CN,China,2008,31.6169791482305,NA,27.1998176284931,93.0643514805815,1324655000,-0.8890559521852026,1.491989064263688,-0.06700036270739229
DE,Alemania,2008,19.7585042946302,631435986169.008,29.3313900595113,83.3260140046802,82110097,-3.7573842715865835,-3.388388505383144,0.9682280716715175
GB,Reino Unido,2008,9.62129349520071,271307764060.359,21.3850946091178,67.9728089736266,61806995,-0.9596456617268823,-3.504115357503945,-6.490438054023084
US,Estados Unidos,2008,12.2167268184361,NA,21.3502704279058,73.1451140948404,304093966,-4.330770621427749,-3.0431106787746964,-4.928027366009468
AR,Argentina,2009,15.5837772738051,74917637563.8265,21.3553224451483,31.9760136072853,40854831,-5.771965736922413,-3.2900942942750144,3.6568828958108313
BR,Brasil,2009,13.0594621488915,193615596102.629,24.3010274140295,37.7685815908127,192079951,-6.418512338449589,-2.2731706936442997,-12.616655516726894
CN,China,2009,31.0611528606438,NA,27.8001237336841,93.6054445336518,1331260000,-1.75799934895996,2.207022537394332,0.5814181740504853
DE,Alemania,2009,17.3389014302498,505664086863.509,28.8260606145451,83.9457532052674,81902307,-12.245880701799782,-1.7228281507999599,0.743752365920658
GB,Reino Unido,2009,9.29245449386144,252079792580.778,19.5781546510129,66.1410203543034,62276270,-3.4178252799719866,-8.4495298764518445,-2.6948843912481757
US,Estados Unidos,2009,11.6987879252113,NA,19.8872717103055,66.1708400172959,306771529,-4.2395880739772736,-6.85236621494073,-9.534846125882869
AR,Argentina,2010,15.8448608064195,83089610067.7763,21.5819580824783,32.188461995905,41288694,1.6753546205595216,1.0612606665721058,0.6643992313391411
BR,Brasil,2010,12.7218596106703,211408937020.165,24.182834770095,34.958895233338,193701929,-2.5851182412581664,-0.4863689173333796,-7.439215980931002
CN,China,2010,31.0748956423241,NA,28.6998228439976,93.5899998443316,1337705000,0.044244274325411226,3.23631333058918,-0.01649977669263558
DE,Alemania,2010,19.4277050847717,604654371683.771,28.7571845440313,83.8888111371172,81776930,12.046920405682293,-0.23893681288883473,-0.06783198193595075
GB,Reino Unido,2010,9.44927062659089,249732410463.265,19.1850760663061,67.8872228046867,62766365,1.6875641719100276,-2.007740727936602,2.640120217422215
US,Estados Unidos,2010,11.9060799107128,NA,19.4896699994272,65.4495860086988,309378227,1.7719099348298961,-1.9992773099804628,-1.0899876870364311
AR,Argentina,2011,15.8506983942663,89459765618.1948,22.3936079441824,31.7073940803998,41730660,0.03684215291075432,3.7607795298381763,-1.4945352641154486
BR,Brasil,2011,11.7837976692113,216159685234.71,23.9090812385977,32.3583556455642,195284734,-7.373622804894131,-1.1320158868877828,-7.438849455671104
CN,China,2011,31.5623565182378,NA,29.5001327749191,93.3409925707617,1345035000,1.5686645629463536,2.7885535575313813,-0.266061837786169
DE,Alemania,2011,20.1229017332202,659166828098.453,27.6642517502902,83.4415333541494,80274983,3.5783776077259244,-3.800555621387991,-0.5331793083069414
GB,Reino Unido,2011,9.32683411729129,244915952856.851,19.1454924660757,62.9058854639269,63258810,-1.295724444117996,-0.20632495849164378,-7.337665520787673
US,Estados Unidos,2011,11.9472438629074,NA,19.5605716592392,62.1334410159857,311839461,0.34573892081442015,0.36379097139194183,-5.066716529379356
AR,Argentina,2012,15.2168009115954,86853510751.1501,22.1242387014808,31.1709213595475,42161721,-3.9991769883161776,-1.202884516747016,-1.691948318086245
